"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month,Year
Utkarsh Small Finance Bank Apps,0.01,3.88,0.01,3.88,4,2022
Utkarsh Small Finance Bank Apps,0.01,4.43,0.01,4.43,5,2022
Utkarsh Small Finance Bank Apps,0.01,3.47,0.01,3.47,6,2022
Utkarsh Small Finance Bank Apps,0.02,4.55,0.02,4.55,7,2022
WhatsApp,2.34,205.83,2.34,205.83,1,2022
WhatsApp,2.24,207.09,2.24,207.09,2,2022
WhatsApp,2.54,239.78,2.54,239.78,3,2022
WhatsApp,2.5,242.4,2.5,242.4,4,2022
WhatsApp,3.48,294.98,3.48,294.98,5,2022
WhatsApp,23.04,429.06,23.04,429.06,6,2022
WhatsApp,6.18,502,6.18,502,7,2022
Yes Bank Apps,27.24,"5,816.96",27.59,"5,817.16",1,2022
Yes Bank Apps,31.99,"6,551.55",32.17,"6,551.61",2,2022
Yes Bank Apps,35.25,"8,746.74",35.25,"8,746.74",3,2022
Yes Bank Apps,34.07,"10,246.99",34.07,"10,246.99",4,2022
Yes Bank Apps,38.19,"10,760.55",39.69,"11,760.16",5,2022
Yes Bank Apps,41.67,"9,889.56",44.03,"11,147.17",6,2022
Yes Bank Apps,55.35,"13,868.41",60.8,"15,236.04",7,2022
YuvaPay,0.05,77.12,0.05,77.12,1,2022
YuvaPay,0.05,89.7,0.05,89.7,2,2022
YuvaPay,0.06,105.39,0.06,105.39,3,2022
YuvaPay,0.06,103.34,0.06,103.34,4,2022
YuvaPay,0.04,88.95,0.04,88.95,5,2022
YuvaPay,0.03,58.31,0.03,58.31,6,2022
YuvaPay,0.01,21.38,0.01,21.38,7,2022
